Date : 2026-03-24 16:19:31
Directory : c:\Users\HP\Desktop\project\Project 2
Total : 118 files,  26924 codes, 40 comments, 402 blanks, all 27366 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Desktop\project\Project 2\frontend\public\file.svg                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\HP\Desktop\project\Project 2\frontend\public\globe.svg                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\HP\Desktop\project\Project 2\frontend\public\next.svg                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\HP\Desktop\project\Project 2\frontend\public\vercel.svg                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\HP\Desktop\project\Project 2\frontend\public\window.svg                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\app\globals.css                      | PostCSS            |        124 |          0 |          5 |        129 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\app\layout.tsx                       | TypeScript JSX     |         24 |          0 |          2 |         26 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\app\page.tsx                         | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\navbar.tsx                | TypeScript JSX     |        150 |         13 |         36 |        199 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\Hero.tsx               | TypeScript JSX     |         93 |         10 |         17 |        120 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\avatar.tsx             | TypeScript JSX     |        103 |          0 |         10 |        113 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\button.tsx             | TypeScript JSX     |         62 |          0 |          6 |         68 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\card.tsx               | TypeScript JSX     |         94 |          0 |         10 |        104 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\carrer-guide.tsx       | TypeScript JSX     |        133 |          0 |          9 |        142 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\darkmod-toggle.tsx     | TypeScript JSX     |         36 |          0 |          5 |         41 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\dialog.tsx             | TypeScript JSX     |        155 |          0 |         14 |        169 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\dropdown-menu.tsx      | TypeScript JSX     |        251 |          0 |         19 |        270 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\input.tsx              | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\Users\HP\Desktop\project\Project 2\frontend\src\components\ui\label.tsx              | TypeScript JSX     |         20 |          0 |          5 |         25 |
